iter	Passed	Remaining
0	0	63
1	0	63
2	0	57
3	0	49
4	0	47
5	0	47
6	1	54
7	1	51
8	1	50
9	1	48
10	1	50
11	2	48
12	2	47
13	2	45
14	2	44
15	2	43
16	2	43
17	2	43
18	2	42
19	3	42
20	3	42
21	3	41
22	3	41
23	3	41
24	3	41
25	3	41
26	4	41
27	4	41
28	4	40
29	4	40
30	4	40
31	4	39
32	4	39
33	5	39
34	5	41
35	5	41
36	5	40
37	5	40
38	5	39
39	6	39
40	6	39
41	6	39
42	6	39
43	6	39
44	6	39
45	7	39
46	7	38
47	7	38
48	7	38
49	7	38
50	7	38
51	7	37
52	8	37
53	8	37
54	8	37
55	8	36
56	8	36
57	8	36
58	8	36
59	8	35
60	9	35
61	9	35
62	9	35
63	9	35
64	9	35
65	9	35
66	10	34
67	10	34
68	10	34
69	10	34
70	10	34
71	10	34
72	11	34
73	11	34
74	11	33
75	11	33
76	11	33
77	11	33
78	11	32
79	11	32
80	12	32
81	12	32
82	12	32
83	12	31
84	12	31
85	12	31
86	12	31
87	12	31
88	13	30
89	13	30
90	13	30
91	13	30
92	13	30
93	13	30
94	13	29
95	14	29
96	14	29
97	14	29
98	14	29
99	14	29
100	14	29
101	15	29
102	15	29
103	15	28
104	15	28
105	15	28
106	15	28
107	15	28
108	16	28
109	16	28
110	16	28
111	16	28
112	16	27
113	17	27
114	17	27
115	17	27
116	17	27
117	17	27
118	17	27
119	17	26
120	18	26
121	18	26
122	18	26
123	18	26
124	18	25
125	18	25
126	18	25
127	18	25
128	18	25
129	19	24
130	19	24
131	19	24
132	19	24
133	19	24
134	19	24
135	19	23
136	19	23
137	20	23
138	20	23
139	20	23
140	20	23
141	20	22
142	20	22
143	20	22
144	21	22
145	21	22
146	21	22
147	21	21
148	21	21
149	21	21
150	21	21
151	21	21
152	21	21
153	22	21
154	22	21
155	22	20
156	22	20
157	22	20
158	23	20
159	23	20
160	23	20
161	23	20
162	23	20
163	23	19
164	24	20
165	24	19
166	24	19
167	24	19
168	25	19
169	25	19
170	25	19
171	25	18
172	25	18
173	25	18
174	25	18
175	25	18
176	26	18
177	26	17
178	26	17
179	26	17
180	26	17
181	26	17
182	26	17
183	26	16
184	27	16
185	27	16
186	27	16
187	27	16
188	27	16
189	27	16
190	27	15
191	27	15
192	28	15
193	28	15
194	28	15
195	28	15
196	28	15
197	28	14
198	28	14
199	29	14
200	29	14
201	29	14
202	29	14
203	29	13
204	29	13
205	30	13
206	30	13
207	30	13
208	30	13
209	30	13
210	30	13
211	31	12
212	31	12
213	31	12
214	31	12
215	31	12
216	32	12
217	32	12
218	32	11
219	32	11
220	32	11
221	32	11
222	32	11
223	33	11
224	33	11
225	33	10
226	33	10
227	33	10
228	33	10
229	33	10
230	33	10
231	34	9
232	34	9
233	34	9
234	34	9
235	34	9
236	34	9
237	34	9
238	34	8
239	35	8
240	35	8
241	35	8
242	35	8
243	35	8
244	35	8
245	35	7
246	35	7
247	36	7
248	36	7
249	36	7
250	36	7
251	36	6
252	36	6
253	36	6
254	36	6
255	36	6
256	37	6
257	37	6
258	37	5
259	37	5
260	37	5
261	37	5
262	37	5
263	37	5
264	38	5
265	38	4
266	38	4
267	38	4
268	38	4
269	38	4
270	38	4
271	38	3
272	38	3
273	39	3
274	39	3
275	39	3
276	39	3
277	39	3
278	39	2
279	39	2
280	39	2
281	40	2
282	40	2
283	40	2
284	40	2
285	40	1
286	40	1
287	40	1
288	40	1
289	41	1
290	41	1
291	41	1
292	41	0
293	41	0
294	41	0
295	41	0
296	41	0
297	42	0
298	42	0
299	42	0
